sale_id,product_code,product_description,qty_sold,sale_price,sale_total,sale_date,store_id,cashier,payment_method
S000001,SKU-00007,Notebook Pack,5,1186.07,5930.35,02/17/2024,STORE-03,EMP-113,Mobile
S000002,SKU-00008,Pen Set,10,648.74,6487.4,02/08/2025,STORE-08,EMP-457,Cash
S000003,SKU-00005,Standing Desk,4,1150.09,4600.36,12/10/2025,STORE-05,EMP-574,Mobile
S000004,SKU-00007,Notebook Pack,3,351.67,1055.01,12/24/2025,STORE-10,EMP-494,Mobile
S000005,SKU-00008,Pen Set,9,1352.58,12173.22,03/13/2025,STORE-02,EMP-286,Cash
S000006,SKU-00006,Monitor Arm,10,742.95,7429.5,02/23/2025,STORE-08,EMP-968,Debit
S000007,SKU-00010,Webcam HD,6,1372.96,8237.76,02/01/2024,STORE-07,EMP-907,Credit
S000008,SKU-00002,Wireless Mouse,10,1407.04,14070.4,05/07/2024,STORE-02,EMP-455,Debit
S000009,SKU-00003,USB Hub,10,1290.69,12906.9,04/11/2025,STORE-09,EMP-227,Credit
S000010,SKU-00005,Standing Desk,9,21.1,189.9,12/25/2025,STORE-05,EMP-543,Mobile
S000011,SKU-00010,Webcam HD,4,1352.34,5409.36,07/23/2025,STORE-04,EMP-697,Debit
S000012,SKU-00001,Laptop Pro 15,3,939.81,2819.43,04/19/2025,STORE-09,EMP-495,Credit
S000013,SKU-00007,Notebook Pack,4,1269.88,5079.52,04/20/2024,STORE-05,EMP-191,Credit
S000014,SKU-00001,Laptop Pro 15,4,1035.41,4141.64,09/12/2025,STORE-08,EMP-636,Debit
S000015,SKU-00002,Wireless Mouse,3,28.63,85.89,03/09/2024,STORE-02,EMP-884,Cash
S000016,SKU-00008,Pen Set,4,1313.1,5252.4,07/11/2025,STORE-06,EMP-279,Credit
S000017,SKU-00011,Keyboard BT,5,1391.54,6957.7,04/20/2025,STORE-07,EMP-224,Cash
S000018,SKU-00009,Printer Paper,5,878.27,4391.35,11/14/2025,STORE-08,EMP-886,Credit
S000019,SKU-00005,Standing Desk,1,9.8,9.8,04/23/2024,STORE-02,EMP-948,Cash
S000020,SKU-00003,USB Hub,2,256.08,512.16,01/22/2024,STORE-08,EMP-533,Mobile
S000021,SKU-00007,Notebook Pack,2,922.77,1845.54,02/02/2025,STORE-07,EMP-396,Debit
S000022,SKU-00009,Printer Paper,4,686.39,2745.56,07/27/2024,STORE-02,EMP-146,Mobile
S000023,SKU-00005,Standing Desk,8,602.88,4823.04,07/16/2024,STORE-02,EMP-140,Mobile
S000024,SKU-00004,Office Chair,6,373.55,2241.3,08/14/2025,STORE-07,EMP-370,Cash
S000025,SKU-00005,Standing Desk,2,251.28,502.56,01/13/2025,STORE-08,EMP-935,Cash
S000026,SKU-00003,USB Hub,1,923.3,923.3,12/01/2025,STORE-04,EMP-439,Credit
S000027,SKU-00002,Wireless Mouse,3,6.4,19.2,09/24/2025,STORE-09,EMP-564,Debit
S000028,SKU-00012,Desk Lamp,7,750.39,5252.73,02/27/2024,STORE-01,EMP-393,Mobile
S000029,SKU-00009,Printer Paper,8,69.78,558.24,04/11/2024,STORE-03,EMP-906,Cash
S000030,SKU-00008,Pen Set,1,291.47,291.47,04/12/2024,STORE-02,EMP-501,Credit
S000031,SKU-00002,Wireless Mouse,1,141.12,141.12,06/26/2025,STORE-04,EMP-154,Cash
S000032,SKU-00006,Monitor Arm,3,1298.17,3894.51,04/04/2025,STORE-09,EMP-122,Cash
S000033,SKU-00006,Monitor Arm,7,1340.19,9381.33,06/05/2025,STORE-09,EMP-517,Credit
S000034,SKU-00011,Keyboard BT,5,132.91,664.55,01/28/2025,STORE-03,EMP-989,Debit
S000035,SKU-00010,Webcam HD,5,397.97,1989.85,10/15/2024,STORE-07,EMP-735,Cash
S000036,SKU-00008,Pen Set,10,253.67,2536.7,06/21/2024,STORE-02,EMP-889,Credit
S000037,SKU-00008,Pen Set,7,1057.92,7405.44,12/18/2024,STORE-04,EMP-641,Credit
S000038,SKU-00007,Notebook Pack,3,1050.42,3151.26,04/25/2024,STORE-10,EMP-455,Cash
S000039,SKU-00009,Printer Paper,7,355.95,2491.65,07/10/2025,STORE-10,EMP-283,Mobile
S000040,SKU-00010,Webcam HD,9,969.72,8727.48,02/26/2025,STORE-09,EMP-580,Mobile
S000041,SKU-00008,Pen Set,4,700.41,2801.64,09/02/2025,STORE-10,EMP-471,Mobile
S000042,SKU-00001,Laptop Pro 15,9,486.93,4382.37,12/05/2025,STORE-10,EMP-774,Mobile
S000043,SKU-00003,USB Hub,2,1406.24,2812.48,08/11/2024,STORE-05,EMP-638,Mobile
S000044,SKU-00007,Notebook Pack,5,1499.08,7495.4,06/17/2025,STORE-01,EMP-227,Cash
S000045,SKU-00002,Wireless Mouse,2,760.97,1521.94,05/22/2024,STORE-07,EMP-411,Cash
S000046,SKU-00003,USB Hub,3,1217.66,3652.98,02/21/2024,STORE-06,EMP-647,Credit
S000047,SKU-00006,Monitor Arm,8,1158.85,9270.8,06/19/2025,STORE-01,EMP-812,Credit
S000048,SKU-00007,Notebook Pack,3,1090.85,3272.55,04/03/2025,STORE-04,EMP-780,Credit
S000049,SKU-00001,Laptop Pro 15,7,1066.62,7466.34,04/11/2025,STORE-01,EMP-507,Credit
S000050,SKU-00001,Laptop Pro 15,10,125.37,1253.7,11/17/2025,STORE-08,EMP-847,Credit
S000051,SKU-00002,Wireless Mouse,2,929.29,1858.58,12/25/2025,STORE-09,EMP-825,Cash
S000052,SKU-00006,Monitor Arm,7,1056.0,7392.0,01/20/2025,STORE-10,EMP-724,Credit
S000053,SKU-00004,Office Chair,3,1104.35,3313.05,03/17/2025,STORE-08,EMP-809,Credit
S000054,SKU-00006,Monitor Arm,5,1083.49,5417.45,02/18/2024,STORE-02,EMP-869,Mobile
S000055,SKU-00002,Wireless Mouse,2,1155.91,2311.82,01/24/2024,STORE-03,EMP-992,Mobile
S000056,SKU-00002,Wireless Mouse,7,366.9,2568.3,03/09/2024,STORE-08,EMP-402,Cash
S000057,SKU-00004,Office Chair,9,855.19,7696.71,11/07/2025,STORE-08,EMP-348,Credit
S000058,SKU-00001,Laptop Pro 15,10,1069.27,10692.7,07/05/2025,STORE-07,EMP-350,Debit
S000059,SKU-00010,Webcam HD,3,378.15,1134.45,05/22/2024,STORE-07,EMP-899,Mobile
S000060,SKU-00003,USB Hub,10,1092.57,10925.7,03/10/2025,STORE-07,EMP-939,Credit
S000061,SKU-00008,Pen Set,5,201.74,1008.7,01/29/2025,STORE-07,EMP-308,Credit
S000062,SKU-00011,Keyboard BT,-10,130.78,1307.8,05/31/2024,STORE-09,EMP-998,Cash
S000063,SKU-00004,Office Chair,8,87.42,699.36,11/25/2025,STORE-07,EMP-121,Credit
S000064,SKU-00002,Wireless Mouse,8,1005.6,8044.8,12/07/2025,STORE-04,EMP-498,Cash
S000065,SKU-00010,Webcam HD,4,306.75,1227.0,04/03/2024,STORE-09,EMP-705,Debit
S000066,SKU-00011,Keyboard BT,5,1003.25,5016.25,08/20/2025,STORE-08,EMP-459,Cash
S000067,SKU-00011,Keyboard BT,6,240.86,1445.16,06/26/2025,STORE-06,EMP-674,Mobile
S000068,SKU-00001,Laptop Pro 15,7,688.23,4817.61,03/18/2024,STORE-04,EMP-245,Credit
S000069,SKU-00004,Office Chair,8,1227.17,9817.36,12/21/2025,STORE-01,EMP-693,Cash
S000070,SKU-00002,Wireless Mouse,4,467.02,1868.08,02/04/2025,STORE-05,EMP-398,Credit
S000071,SKU-00012,Desk Lamp,2,496.9,993.8,08/20/2024,STORE-04,EMP-691,Debit
S000072,SKU-00004,Office Chair,3,1220.72,3662.16,03/09/2025,STORE-06,EMP-140,Cash
S000073,SKU-00009,Printer Paper,2,760.41,1520.82,10/29/2025,STORE-09,EMP-727,Credit
S000074,SKU-00005,Standing Desk,6,903.12,5418.72,03/04/2024,STORE-04,EMP-994,Cash
S000075,SKU-00007,Notebook Pack,8,1393.66,11149.28,08/12/2025,STORE-10,EMP-169,Credit
S000076,SKU-00009,Printer Paper,1,575.59,575.59,01/29/2024,STORE-07,EMP-455,Mobile
S000077,SKU-00002,Wireless Mouse,8,1263.14,10105.12,04/28/2025,STORE-03,EMP-522,Mobile
S000078,SKU-00005,Standing Desk,1,1472.36,1472.36,07/06/2025,STORE-09,EMP-834,Mobile
S000079,SKU-00008,Pen Set,6,1382.47,8294.82,10/17/2025,STORE-04,EMP-661,Mobile
S000080,SKU-00010,Webcam HD,8,1062.73,8501.84,03/31/2025,STORE-04,EMP-944,Debit
S000081,SKU-00003,USB Hub,2,808.43,1616.86,01/17/2024,STORE-09,EMP-728,Credit
S000082,SKU-00010,Webcam HD,9,206.5,1858.5,07/23/2024,STORE-08,EMP-690,Debit
S000083,SKU-00012,Desk Lamp,5,205.01,1025.05,10/12/2025,STORE-01,EMP-437,Mobile
S000084,SKU-00001,Laptop Pro 15,8,340.19,2721.52,01/02/2025,STORE-03,EMP-505,Mobile
S000085,SKU-00007,Notebook Pack,6,1322.37,7934.22,09/28/2025,STORE-09,EMP-107,Debit
S000086,SKU-00001,Laptop Pro 15,4,598.9,2395.6,01/10/2024,STORE-01,EMP-375,Mobile
S000087,SKU-00001,Laptop Pro 15,-6,167.97,1007.82,01/24/2024,STORE-02,EMP-677,Debit
S000088,SKU-00010,Webcam HD,9,1120.29,10082.61,06/22/2024,STORE-07,EMP-377,Mobile
S000089,SKU-00002,Wireless Mouse,7,1354.97,9484.79,12/25/2024,STORE-03,EMP-968,Cash
S000090,SKU-00004,Office Chair,6,1255.25,7531.5,03/21/2024,STORE-06,EMP-962,Mobile
S000091,SKU-00004,Office Chair,10,746.37,7463.7,07/08/2024,STORE-05,EMP-914,Mobile
S000092,SKU-00003,USB Hub,6,813.54,4881.24,04/08/2024,STORE-10,EMP-978,Debit
S000093,SKU-00008,Pen Set,5,645.74,3228.7,11/29/2024,STORE-02,EMP-688,Debit
S000094,SKU-00006,Monitor Arm,7,320.82,2245.74,04/22/2024,STORE-07,EMP-130,Credit
S000095,SKU-00009,Printer Paper,9,769.61,6926.49,09/21/2024,STORE-09,EMP-686,Mobile
S000096,SKU-00010,Webcam HD,5,162.14,810.7,05/20/2025,STORE-03,EMP-540,Credit
S000097,SKU-00006,Monitor Arm,3,781.04,2343.12,05/20/2024,STORE-09,EMP-110,Credit
S000098,SKU-00002,Wireless Mouse,5,292.91,1464.55,11/09/2025,STORE-01,EMP-778,Credit
S000099,SKU-00001,Laptop Pro 15,1,981.53,981.53,08/11/2025,STORE-09,EMP-738,Cash
S000100,SKU-00011,Keyboard BT,7,862.97,6040.79,07/14/2025,STORE-01,EMP-655,Mobile
S000101,SKU-00006,Monitor Arm,4,395.9,1583.6,05/22/2025,STORE-01,EMP-700,Mobile
S000102,SKU-00009,Printer Paper,6,977.14,5862.84,03/21/2025,STORE-02,EMP-492,Cash
S000103,SKU-00011,Keyboard BT,3,1409.55,4228.65,04/15/2025,STORE-09,EMP-646,Cash
S000104,SKU-00003,USB Hub,7,636.44,4455.08,02/16/2025,STORE-10,EMP-620,Mobile
S000105,SKU-00003,USB Hub,3,1319.87,3959.61,08/21/2024,STORE-09,EMP-929,Debit
S000106,SKU-00005,Standing Desk,7,107.28,750.96,04/16/2025,STORE-10,EMP-847,Debit
S000107,SKU-00012,Desk Lamp,6,1384.89,8309.34,04/14/2025,STORE-02,EMP-796,Cash
S000108,SKU-00001,Laptop Pro 15,5,926.13,4630.65,09/19/2024,STORE-05,EMP-765,Cash
S000109,SKU-00004,Office Chair,7,1496.85,10477.95,09/20/2024,STORE-06,EMP-975,Cash
S000110,SKU-00011,Keyboard BT,9,1322.48,11902.32,08/11/2024,STORE-02,EMP-948,Credit
S000111,SKU-00011,Keyboard BT,9,169.1,1521.9,01/21/2025,STORE-08,EMP-927,Cash
S000112,SKU-00010,Webcam HD,2,1372.31,2744.62,02/06/2025,STORE-02,EMP-111,Cash
S000113,SKU-00003,USB Hub,7,97.55,682.85,01/24/2025,STORE-09,EMP-798,Debit
S000114,SKU-00005,Standing Desk,1,963.0,963.0,03/11/2025,STORE-05,EMP-134,Cash
S000115,SKU-00012,Desk Lamp,5,1434.55,7172.75,12/21/2024,STORE-02,EMP-840,Credit
S000116,SKU-00003,USB Hub,8,1173.24,9385.92,05/23/2024,STORE-10,EMP-367,Credit
S000117,SKU-00010,Webcam HD,9,117.7,1059.3,03/08/2025,STORE-07,EMP-926,Debit
S000118,SKU-00010,Webcam HD,8,247.62,1980.96,10/03/2024,STORE-09,EMP-864,Credit
S000119,SKU-00006,Monitor Arm,10,485.86,4858.6,11/03/2024,STORE-09,EMP-474,Cash
S000120,SKU-00004,Office Chair,4,1373.04,5492.16,12/26/2024,STORE-10,EMP-692,Credit
S000121,SKU-00006,Monitor Arm,9,284.61,2561.49,07/31/2024,STORE-09,EMP-645,Cash
S000122,SKU-00002,Wireless Mouse,7,888.61,6220.27,01/27/2025,STORE-08,EMP-884,Debit
S000123,SKU-00010,Webcam HD,3,1126.82,3380.46,10/05/2025,STORE-03,EMP-417,Mobile
S000124,SKU-00001,Laptop Pro 15,8,208.64,1669.12,04/25/2025,STORE-10,EMP-553,Debit
S000125,SKU-00002,Wireless Mouse,4,143.99,575.96,10/12/2024,STORE-07,EMP-292,Mobile
S000126,SKU-00007,Notebook Pack,3,160.38,481.14,12/03/2025,STORE-07,EMP-936,Cash
S000127,SKU-00010,Webcam HD,5,1232.49,6162.45,08/27/2025,STORE-05,EMP-372,Mobile
S000128,SKU-00003,USB Hub,8,207.07,1656.56,12/29/2024,STORE-06,EMP-782,Mobile
S000129,SKU-00010,Webcam HD,10,803.72,8037.2,05/26/2025,STORE-06,EMP-168,Cash
S000130,SKU-00009,Printer Paper,10,1289.44,12894.4,11/21/2025,STORE-04,EMP-834,Credit
S000131,SKU-00004,Office Chair,10,851.31,8513.1,03/17/2025,STORE-01,EMP-168,Debit
S000132,SKU-00008,Pen Set,2,549.87,1099.74,12/02/2025,STORE-10,EMP-687,Mobile
S000133,SKU-00002,Wireless Mouse,10,391.54,3915.4,10/06/2025,STORE-05,EMP-436,Debit
S000134,SKU-00010,Webcam HD,7,122.42,856.94,02/09/2024,STORE-10,EMP-978,Mobile
S000135,SKU-00005,Standing Desk,2,1377.73,2755.46,10/15/2024,STORE-02,EMP-949,Credit
S000136,SKU-00005,Standing Desk,1,491.77,491.77,09/09/2024,STORE-06,EMP-238,Credit
S000137,SKU-00003,USB Hub,8,611.51,4892.08,12/17/2025,STORE-08,EMP-295,Cash
S000138,SKU-00008,Pen Set,3,183.21,549.63,03/17/2025,STORE-05,EMP-445,Credit
S000139,SKU-00007,Notebook Pack,2,1241.28,2482.56,09/24/2025,STORE-02,EMP-579,Debit
S000140,SKU-00004,Office Chair,10,420.53,4205.3,10/20/2025,STORE-03,EMP-270,Mobile
S000141,SKU-00010,Webcam HD,2,778.31,1556.62,01/12/2024,STORE-06,EMP-421,Debit
S000142,SKU-00001,Laptop Pro 15,1,1062.92,1062.92,03/01/2025,STORE-09,EMP-641,Mobile
S000143,SKU-00012,Desk Lamp,1,939.71,939.71,07/30/2025,STORE-07,EMP-768,Credit
S000144,SKU-00006,Monitor Arm,7,973.0,6811.0,08/26/2024,STORE-07,EMP-977,Debit
S000145,SKU-00010,Webcam HD,8,615.17,4921.36,07/10/2025,STORE-03,EMP-553,Cash
S000146,SKU-00003,USB Hub,9,826.83,7441.47,02/24/2025,STORE-04,EMP-225,Cash
S000147,SKU-00007,Notebook Pack,9,686.32,6176.88,06/25/2024,STORE-06,EMP-406,Cash
S000148,SKU-00012,Desk Lamp,5,810.79,4053.95,06/26/2025,STORE-02,EMP-525,Credit
S000149,SKU-00005,Standing Desk,4,249.17,996.68,06/15/2025,STORE-02,EMP-238,Mobile
S000150,SKU-00002,Wireless Mouse,8,1134.88,9079.04,10/30/2024,STORE-03,EMP-794,Mobile
S000151,SKU-00011,Keyboard BT,5,288.04,1440.2,07/11/2025,STORE-09,EMP-581,Credit
S000152,SKU-00008,Pen Set,6,754.18,4525.08,03/23/2024,STORE-05,EMP-125,Mobile
S000153,SKU-00001,Laptop Pro 15,6,821.3,4927.8,08/08/2025,STORE-06,EMP-319,Cash
S000154,SKU-00005,Standing Desk,8,75.95,607.6,09/17/2025,STORE-05,EMP-663,Mobile
S000155,SKU-00012,Desk Lamp,5,58.67,293.35,10/22/2025,STORE-04,EMP-284,Debit
S000156,SKU-00009,Printer Paper,9,1012.67,9114.03,08/28/2024,STORE-03,EMP-241,Cash
S000157,SKU-00008,Pen Set,2,1256.47,2512.94,02/06/2024,STORE-09,EMP-291,Credit
S000158,SKU-00009,Printer Paper,2,850.33,1700.66,02/27/2024,STORE-04,EMP-307,Debit
S000159,SKU-00008,Pen Set,8,541.24,4329.92,10/15/2025,STORE-10,EMP-911,Credit
S000160,SKU-00008,Pen Set,9,351.12,3160.08,06/10/2025,STORE-09,EMP-970,Debit
S000161,SKU-00010,Webcam HD,1,1010.61,1010.61,02/23/2025,STORE-08,EMP-748,Cash
S000162,SKU-00011,Keyboard BT,3,1127.17,3381.51,12/07/2025,STORE-02,EMP-988,Cash
S000163,SKU-00012,Desk Lamp,8,1166.41,9331.28,02/10/2025,STORE-05,EMP-562,Debit
S000164,SKU-00012,Desk Lamp,4,1332.78,5331.12,12/30/2024,STORE-07,EMP-488,Credit
S000165,SKU-00011,Keyboard BT,3,1358.35,4075.05,06/18/2024,STORE-03,EMP-557,Cash
S000166,SKU-00011,Keyboard BT,10,1359.14,13591.4,05/26/2025,STORE-08,EMP-597,Credit
S000167,SKU-00005,Standing Desk,3,870.64,2611.92,06/01/2025,STORE-06,EMP-161,Mobile
S000168,SKU-00001,Laptop Pro 15,3,322.32,966.96,07/06/2025,STORE-02,EMP-788,Cash
S000169,SKU-00005,Standing Desk,7,1177.54,8242.78,01/31/2025,STORE-04,EMP-244,Cash
S000170,SKU-00006,Monitor Arm,5,566.57,2832.85,05/13/2024,STORE-02,EMP-362,Cash
S000171,SKU-00011,Keyboard BT,3,807.16,2421.48,10/30/2025,STORE-07,EMP-793,Mobile
S000172,SKU-00011,Keyboard BT,10,393.93,3939.3,05/03/2024,STORE-10,EMP-994,Debit
S000173,SKU-00003,USB Hub,7,1381.82,9672.74,11/20/2025,STORE-06,EMP-795,Cash
S000174,SKU-00006,Monitor Arm,9,88.04,792.36,06/30/2024,STORE-01,EMP-285,Credit
S000175,SKU-00011,Keyboard BT,3,156.76,470.28,12/19/2025,STORE-09,EMP-113,Mobile
S000176,SKU-00005,Standing Desk,10,235.75,2357.5,04/24/2024,STORE-09,EMP-837,Debit
S000177,SKU-00006,Monitor Arm,10,714.51,7145.1,08/17/2024,STORE-01,EMP-890,Cash
S000178,SKU-00008,Pen Set,3,726.64,2179.92,07/12/2024,STORE-09,EMP-148,Cash
S000179,SKU-00006,Monitor Arm,9,463.47,4171.23,01/05/2025,STORE-07,EMP-298,Credit
S000180,SKU-00006,Monitor Arm,5,1116.04,5580.2,01/03/2025,STORE-04,EMP-542,Cash
S000181,SKU-00007,Notebook Pack,9,154.87,1393.83,11/24/2024,STORE-05,EMP-740,Cash
S000182,SKU-00009,Printer Paper,6,1028.01,6168.06,04/08/2024,STORE-08,EMP-820,Mobile
S000183,SKU-00010,Webcam HD,7,199.53,1396.71,06/01/2024,STORE-10,EMP-290,Credit
S000184,SKU-00005,Standing Desk,7,723.56,5064.92,07/06/2025,STORE-05,EMP-378,Mobile
S000185,SKU-00008,Pen Set,4,214.78,859.12,10/31/2024,STORE-04,EMP-125,Mobile
S000186,SKU-00011,Keyboard BT,7,671.96,4703.72,10/31/2025,STORE-05,EMP-745,Cash
S000187,SKU-00002,Wireless Mouse,9,1081.19,9730.71,11/03/2024,STORE-08,EMP-918,Mobile
S000188,SKU-00010,Webcam HD,10,1234.54,12345.4,01/09/2025,STORE-04,EMP-452,Mobile
S000189,SKU-00002,Wireless Mouse,3,414.15,1242.45,02/24/2024,STORE-09,EMP-357,Mobile
S000190,SKU-00012,Desk Lamp,3,1318.33,3954.99,11/22/2025,STORE-06,EMP-490,Credit
S000191,SKU-00005,Standing Desk,8,191.85,1534.8,03/01/2024,STORE-04,EMP-752,Cash
S000192,SKU-00005,Standing Desk,4,687.14,2748.56,03/02/2024,STORE-05,EMP-834,Debit
S000193,SKU-00003,USB Hub,7,94.66,662.62,02/15/2025,STORE-01,EMP-996,Cash
S000194,SKU-00006,Monitor Arm,1,692.22,692.22,08/14/2025,STORE-08,EMP-444,Credit
S000195,SKU-00002,Wireless Mouse,8,762.11,6096.88,02/26/2025,STORE-07,EMP-605,Mobile
S000196,SKU-00009,Printer Paper,2,769.78,1539.56,07/23/2024,STORE-01,EMP-823,Cash
S000197,SKU-00012,Desk Lamp,7,755.95,5291.65,10/05/2024,STORE-03,EMP-990,Mobile
S000198,SKU-00004,Office Chair,4,658.4,2633.6,07/14/2025,STORE-10,EMP-196,Credit
S000199,SKU-00010,Webcam HD,7,548.92,3842.44,06/15/2024,STORE-08,EMP-248,Mobile
S000200,SKU-00002,Wireless Mouse,9,1185.12,10666.08,09/18/2024,STORE-02,EMP-841,Debit
S000201,SKU-00007,Notebook Pack,3,1211.95,3635.85,11/21/2025,STORE-04,EMP-621,Cash
S000202,SKU-00008,Pen Set,1,1175.91,1175.91,08/31/2025,STORE-05,EMP-516,Cash
S000203,SKU-00008,Pen Set,8,136.09,1088.72,02/20/2025,STORE-05,EMP-174,Cash
S000204,SKU-00007,Notebook Pack,1,387.09,387.09,11/08/2025,STORE-10,EMP-692,Cash
S000205,SKU-00011,Keyboard BT,4,646.67,2586.68,07/23/2024,STORE-03,EMP-250,Cash
S000206,SKU-00011,Keyboard BT,3,912.09,2736.27,09/07/2025,STORE-09,EMP-104,Cash
S000207,SKU-00005,Standing Desk,8,230.56,1844.48,02/13/2024,STORE-10,EMP-544,Mobile
S000208,SKU-00009,Printer Paper,7,584.05,4088.35,12/19/2024,STORE-02,EMP-738,Mobile
S000209,SKU-00008,Pen Set,7,1485.59,10399.13,01/26/2024,STORE-04,EMP-993,Credit
S000210,SKU-00010,Webcam HD,10,133.3,1333.0,08/25/2024,STORE-09,EMP-342,Mobile
S000211,SKU-00001,Laptop Pro 15,6,1335.11,8010.66,01/15/2024,STORE-09,EMP-740,Credit
S000212,SKU-00007,Notebook Pack,1,1357.86,1357.86,10/27/2024,STORE-07,EMP-955,Mobile
S000213,SKU-00006,Monitor Arm,2,128.89,257.78,10/13/2025,STORE-09,EMP-792,Credit
S000214,SKU-00001,Laptop Pro 15,4,242.99,971.96,06/22/2024,STORE-05,EMP-839,Cash
S000215,SKU-00001,Laptop Pro 15,5,1332.04,6660.2,04/04/2025,STORE-05,EMP-452,Debit
S000216,SKU-00007,Notebook Pack,-7,1166.32,8164.24,09/10/2024,STORE-10,EMP-980,Debit
S000217,SKU-00002,Wireless Mouse,10,1446.79,14467.9,05/23/2025,STORE-06,EMP-619,Debit
S000218,SKU-00003,USB Hub,8,663.86,5310.88,08/30/2025,STORE-05,EMP-949,Mobile
S000219,SKU-00003,USB Hub,8,1007.01,8056.08,02/23/2024,STORE-02,EMP-705,Credit
S000220,SKU-00007,Notebook Pack,8,535.75,4286.0,11/18/2024,STORE-08,EMP-954,Mobile
S000221,SKU-00008,Pen Set,2,1467.52,2935.04,12/06/2025,STORE-02,EMP-715,Credit
S000222,SKU-00008,Pen Set,1,1487.59,1487.59,04/11/2025,STORE-02,EMP-526,Debit
S000223,SKU-00002,Wireless Mouse,8,79.02,632.16,11/27/2025,STORE-08,EMP-504,Cash
S000224,SKU-00003,USB Hub,5,233.24,1166.2,04/15/2024,STORE-07,EMP-694,Debit
S000225,SKU-00012,Desk Lamp,9,392.05,3528.45,12/17/2024,STORE-05,EMP-266,Mobile
S000226,SKU-00005,Standing Desk,8,521.97,4175.76,07/26/2024,STORE-10,EMP-956,Mobile
S000227,SKU-00010,Webcam HD,3,992.96,2978.88,04/01/2024,STORE-05,EMP-630,Credit
S000228,SKU-00010,Webcam HD,3,302.31,906.93,05/09/2025,STORE-10,EMP-950,Credit
S000229,SKU-00010,Webcam HD,10,574.81,5748.1,02/24/2025,STORE-06,EMP-108,Mobile
S000230,SKU-00002,Wireless Mouse,2,606.02,1212.04,12/10/2024,STORE-09,EMP-508,Debit
S000231,SKU-00006,Monitor Arm,1,360.58,360.58,01/07/2025,STORE-06,EMP-665,Cash
S000232,SKU-00009,Printer Paper,1,1012.27,1012.27,12/02/2025,STORE-01,EMP-525,Mobile
